SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,kineticLaw-,kineticLaw--units,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,sbml charge,sbml compartment,sbml id,sbml initial amount,sbml initial concentration,sbml type,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
294571,4.26868739,0.0078056,0.23426405,0,59,11,59,0,FALSE,,,ATP,5.81355932,59,0,59,0,0.81840626,0,h,M_atp_h,NaN,NaN,species,TRUE,0,ATP,72745766,0.03978148
294673,5.56126381,0,0.17981524,0,1,11,1,0,FALSE,,,L-Cysteinyl-tRNA(Cys),6,1,0,1,0,0.74659646,0,c,M_cystrna_c,NaN,NaN,species,TRUE,0,L-Cysteinyl-tRNA(Cys),0,0
294857,6.24505523,5.36E-05,0.16012669,0,2,13,2,0,FALSE,,,Flavin adenine dinucleotide oxidized,3,2,0,2,0,0.70860804,0,h,M_fad_h,NaN,NaN,species,TRUE,0,Flavin adenine dinucleotide oxidized,121928,0.5
305759,5.34960185,4.37E-05,0.1869298,0,3,12,3,3,FALSE,0,mmol_per_gDW_per_hr,malonyl-CoA decarboxylase,16.66666667,3,0,0,0,0.75835545,,,R_MCDC,,,reaction,TRUE,0,malonyl-CoA decarboxylase,62128,0.34057971
302217,4.36835345,1.97E-04,0.2289192,0,6,10,6,6,FALSE,0,mmol_per_gDW_per_hr,"oleate desaturase (18:1(9Z)/18:2(9Z,12Z)) (PE)",107.8333333,6,0,0,0,0.81286925,,,R_PEDS1819Z1829Z12Z,,,reaction,TRUE,0,"oleate desaturase (18:1(9Z)/18:2(9Z,12Z)) (PE)",1554270,0.24170437
304064,4.32108913,4.07E-04,0.23142314,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,1D-myo-Inositol 4-phosphate phosphohydrolase,134.75,4,0,0,0,0.81549505,,,R_MI4PP,,,reaction,TRUE,0,1D-myo-Inositol 4-phosphate phosphohydrolase,6163862,0.31177156
295230,4.81479579,4.64E-06,0.20769313,0,4,11,4,0,FALSE,,,"1D-myo-Inositol 1,3,4-trisphosphate",4.5,4,0,4,0,0.7880669,0,c,M_mi134p_c,NaN,NaN,species,TRUE,0,"1D-myo-Inositol 1,3,4-trisphosphate",107082,0.4375
297759,3.90547136,0.00422754,0.25605104,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,"Amino acid transporter (asp-L), mitochondrial",172,4,0,0,0,0.83858492,,,R_ASPtm,,,reaction,TRUE,0,"Amino acid transporter (asp-L), mitochondrial",200939318,0.26677067
302118,4.30721808,3.99E-04,0.23216842,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,phosphatidate phosphatase (18:1(11Z)/18:1(11Z)),141,4,0,0,0,0.81626566,,,R_PAPA181,,,reaction,TRUE,0,phosphatidate phosphatase (18:1(11Z)/18:1(11Z)),1445556,0.31180401
294383,5.80169535,5.90E-07,0.17236341,0,2,13,2,0,FALSE,,,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,5.5,2,0,2,0,0.73323915,0,h,M_5aizc_h,NaN,NaN,species,TRUE,0,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,2010,0.5625
302533,5.37837144,4.31E-05,0.18592989,0,4,12,4,4,FALSE,0,mmol_per_gDW_per_hr,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),15.5,4,0,0,0,0.75675714,,,R_PLDAGAT1819Z1819Z1819Z1,,,reaction,TRUE,0,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),1881034,0.32222222
303446,4.86462882,7.60E-05,0.20556553,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,serine---pyruvate transaminase,9,4,0,0,0,0.7852984,,,R_SPTA,,,reaction,TRUE,0,serine---pyruvate transaminase,433470,0.28571429
306629,3.88800411,6.91E-04,0.25720137,0,5,10,5,5,FALSE,0,mmol_per_gDW_per_hr,dCMP aminohydrolase,191.4,5,0,0,0,0.83955533,,,R_DCMAH,,,reaction,TRUE,0,dCMP aminohydrolase,7504078,0.27554269
294819,5.03056769,1.20E-04,0.19878472,0,2,11,2,0,FALSE,,,Desmosterol,4.5,2,0,2,0,0.77607957,0,c,M_dsmsterol_c,NaN,NaN,species,TRUE,0,Desmosterol,332376,0.5
307071,5.31929104,7.09E-05,0.18799498,0,4,12,4,4,FALSE,0,mmol_per_gDW_per_hr,pyruvate formate lyase,13.5,4,0,0,0,0.76003939,,,R_PFLh,,,reaction,TRUE,0,pyruvate formate lyase,859850,0.32051282
299226,5.03108143,8.20E-04,0.19876442,0,7,12,7,7,FALSE,0,mmol_per_gDW_per_hr,cryptoxanthin hydroxylase,12,7,0,0,0,0.77605103,,,R_CXHY,,,reaction,TRUE,0,cryptoxanthin hydroxylase,24763488,0.32352941
307995,6.41202158,1.88E-04,0.15595705,0,6,14,6,6,FALSE,0,mmol_per_gDW_per_hr,methylmalonate-semialdehyde dehydrogenase (acylating),22.66666667,6,0,0,0,0.69933213,,,R_MMSDH,,,reaction,TRUE,0,methylmalonate-semialdehyde dehydrogenase (acylating),438718,0.26748971
299727,4.85178526,0.00105053,0.2061097,0,5,12,5,5,FALSE,0,mmol_per_gDW_per_hr,acetyl-CoA carboxylase (biotin-dependent),53,5,0,0,0,0.78601193,,,R_ACCOAC,,,reaction,TRUE,0,acetyl-CoA carboxylase (biotin-dependent),17517468,0.2055336
294156,4.66529669,0.00259511,0.21434864,0,26,11,26,0,FALSE,,,"1,2-Diacyl-sn-glycerol (1,2-di-(9Z)-octadecenoyl, 18:1(9Z)/18:1(9Z))",4.34615385,26,0,26,0,0.79637241,0,c,M_12dgr1819Z1819Z_c,NaN,NaN,species,TRUE,0,"1,2-Diacyl-sn-glycerol (1,2-di-(9Z)-octadecenoyl, 18:1(9Z)/18:1(9Z))",22622514,0.07604895
295231,7.25610069,0,0.13781507,0,1,13,1,0,FALSE,,,"1D-myo-Inositol 1,3,4-trisphosphate",4,1,0,1,0,0.65243885,0,n,M_mi134p_n,NaN,NaN,species,TRUE,0,"1D-myo-Inositol 1,3,4-trisphosphate",0,0
295244,5.31980478,1.40E-07,0.18797682,0,2,11,2,0,FALSE,,,1D-myo-Inositol 4-phosphate,4,2,0,2,0,0.76001085,0,c,M_mi4p_DASH_D_c,NaN,NaN,species,TRUE,0,1D-myo-Inositol 4-phosphate,44,0.75
301005,4.05137426,8.67E-04,0.24682983,0,5,10,5,5,FALSE,0,mmol_per_gDW_per_hr,betaine lipid synthase (3-amino-3-carboxypropyltransferase) (16:0/18:1(11Z)),116.2,5,0,0,0,0.83047921,,,R_ACPT16018111Z,,,reaction,TRUE,0,betaine lipid synthase (3-amino-3-carboxypropyltransferase) (16:0/18:1(11Z)),7473368,0.21060329
296627,8.34729001,0,0.11979936,0,1,16,1,1,FALSE,0,mmol_per_gDW_per_hr, ,14,1,0,0,0,0.59181722,,,R_DM_photon673_LPAREN_u_RPAREN_,,,reaction,TRUE,0, ,0,0
294827,4.78756743,1.68E-04,0.20887434,0,6,11,6,0,FALSE,,,dUMP,4.5,6,0,6,0,0.78957959,0,c,M_dump_c,NaN,NaN,species,TRUE,0,dUMP,814106,0.25
301971,4.63549961,4.97E-04,0.21572648,0,8,12,8,8,FALSE,0,mmol_per_gDW_per_hr,"omega-3 desaturase (18:3(9Z,12Z,15Z)/16:3(4Z,7Z,10Z)) (MGDG)",83.125,8,0,0,0,0.7980278,,,R_MGDGW3DS1839Z12Z15Z1634Z7Z10Z,,,reaction,TRUE,0,"omega-3 desaturase (18:3(9Z,12Z,15Z)/16:3(4Z,7Z,10Z)) (MGDG)",27877948,0.29541367
303008,4.05805292,5.29E-04,0.2464236,0,5,10,5,5,FALSE,0,mmol_per_gDW_per_hr,CDP-ethanolamine: diacylglycerol ethanolamine phosphotransferase (18:1(11Z)/18:1(9Z)),115.8,5,0,0,0,0.83010817,,,R_ETHAPT18111Z1819Z,,,reaction,TRUE,0,CDP-ethanolamine: diacylglycerol ethanolamine phosphotransferase (18:1(11Z)/18:1(9Z)),5223968,0.2106422
295164,6.6051888,0,0.15139613,0,1,13,1,0,FALSE,,,L-Lysine,6,1,0,1,0,0.68860062,0,m,M_lys_DASH_L_m,NaN,NaN,species,TRUE,0,L-Lysine,0,0
295435,4.81685076,0,0.20760452,0,1,11,1,0,FALSE,,,"phosphatidylethanolamine (18:2(9Z,12Z)/18:3(5Z,9Z,12Z))",7,1,0,1,0,0.78795274,0,e,M_pe1829Z12Z1835Z9Z12Z_e,NaN,NaN,species,TRUE,0,"phosphatidylethanolamine (18:2(9Z,12Z)/18:3(5Z,9Z,12Z))",0,0
306244,7.44413049,6.16E-04,0.13433402,0,4,14,4,4,FALSE,0,mmol_per_gDW_per_hr,"guanylate cyclase, nucleus",6,4,0,0,0,0.64199275,,,R_GUACn,,,reaction,TRUE,0,"guanylate cyclase, nucleus",4073976,0.29411765
300885,5.11533522,9.73E-05,0.19549061,0,4,12,4,4,FALSE,0,mmol_per_gDW_per_hr,acyl-CoA: diacylglycerol acyltransferase (16:0),39.75,4,0,0,0,0.77137027,,,R_ACOADAGAT18111Z18111Z160,,,reaction,TRUE,0,acyl-CoA: diacylglycerol acyltransferase (16:0),1626632,0.2891791
295294,5.20421269,4.89E-06,0.19215202,0,2,11,2,0,FALSE,,,Nicotinamide,4,2,0,2,0,0.76643263,0,c,M_ncam_c,NaN,NaN,species,TRUE,0,Nicotinamide,13240,0.5
294348,6.99614693,1.83E-05,0.14293582,0,3,13,3,0,FALSE,,,Hyp(4-b1)Ara(2-b1)Ara(2-a1)Gal(5-b1)Ara,4.33333333,3,0,3,0,0.66688073,0,g,M_4hproaraaragalara_g,NaN,NaN,species,TRUE,0,Hyp(4-b1)Ara(2-b1)Ara(2-a1)Gal(5-b1)Ara,2590,0.37037037
308077,4.32263036,2.74E-04,0.23134062,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,Pyridoxine-5'-phosphate phosphohydrolase,134.25,4,0,0,0,0.81540942,,,R_PDXPP,,,reaction,TRUE,0,Pyridoxine-5'-phosphate phosphohydrolase,767696,0.30988372
304915,3.88697662,0.00975312,0.25726936,0,6,10,6,6,FALSE,0,mmol_per_gDW_per_hr,cytochrome c oxidase Complex IV,124,6,0,0,0,0.83961241,,,R_CYOO6m,,,reaction,TRUE,0,cytochrome c oxidase Complex IV,243363806,0.18664643
295820,4.88774724,1.89E-04,0.20459323,0,2,11,2,0,FALSE,,,L-Valine,4,2,0,2,0,0.78401404,0,m,M_val_DASH_L_m,NaN,NaN,species,TRUE,0,L-Valine,719696,0.5
296918,5.07731826,3.07E-04,0.19695437,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,L-malate transport to chloroplast by sodium-ion symport,15.25,4,0,0,0,0.77348232,,,R_MAL_LPAREN_na_RPAREN_th,,,reaction,TRUE,0,L-malate transport to chloroplast by sodium-ion symport,1307158,0.33139535
298054,4.95607501,3.40E-04,0.20177257,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,"Sulfate:Na+ symporter, mitochondrial",14.25,4,0,0,0,0.78021806,,,R_SO4NA1tm,,,reaction,TRUE,0,"Sulfate:Na+ symporter, mitochondrial",656006,0.35810811
305071,4.03082456,9.02E-04,0.2480882,0,5,10,5,5,FALSE,0,mmol_per_gDW_per_hr,glucose-6-phosphate-1-dehydrogenase (g6p-A),129.2,5,0,0,0,0.83162086,,,R_G6PADH,,,reaction,TRUE,0,glucose-6-phosphate-1-dehydrogenase (g6p-A),5190752,0.23784787
305770,5.25404572,0.0014669,0.19032952,0,5,12,5,5,FALSE,0,mmol_per_gDW_per_hr,propionyladenylate:CoA propionyltransferase,40.4,5,0,0,0,0.76366413,,,R_PACPT,,,reaction,TRUE,0,propionyladenylate:CoA propionyltransferase,130292058,0.22134831
303073,4.63549961,5.77E-04,0.21572648,0,8,12,8,8,FALSE,0,mmol_per_gDW_per_hr,phosphatidylglycerol palmitate-delta3t-desaturase (18:1(11Z)/16:1(3E)),82.5,8,0,0,0,0.7980278,,,R_PGD3TDS18111Z1613E,,,reaction,TRUE,0,phosphatidylglycerol palmitate-delta3t-desaturase (18:1(11Z)/16:1(3E)),27787564,0.29316547
305423,5.45080914,5.14E-04,0.183459,0,2,12,2,2,FALSE,0,mmol_per_gDW_per_hr,chlorophyll a epimerase,4.5,2,0,0,0,0.75273283,,,R_CHLAE,,,reaction,TRUE,0,chlorophyll a epimerase,2774536,0.5
294195,5.65990239,1.26E-06,0.17668149,0,2,13,2,0,FALSE,,,"2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)-pyrimidine",5,2,0,2,0,0.74111653,0,h,M_25dhpp_h,NaN,NaN,species,TRUE,0,"2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)-pyrimidine",3178,0.57142857
295285,6.27587978,2.49E-05,0.15934021,0,2,13,2,0,FALSE,,,Nicotinamide adenine dinucleotide phosphate,4,2,0,2,0,0.70689557,0,x,M_nadp_x,NaN,NaN,species,TRUE,0,Nicotinamide adenine dinucleotide phosphate,79186,0.5
303043,3.88749037,4.59E-04,0.25723536,0,5,10,5,5,FALSE,0,mmol_per_gDW_per_hr,lysophospholipase (18:0),187.4,5,0,0,0,0.83958387,,,R_LPLPS1AGPE180,,,reaction,TRUE,0,lysophospholipase (18:0),8018050,0.26975398
295547,5.86077575,7.66E-06,0.17062588,0,2,13,2,0,FALSE,,,O-Phospho-L-serine,4,2,0,2,0,0.7299569,0,h,M_pser_DASH_L_h,NaN,NaN,species,TRUE,0,O-Phospho-L-serine,9560,0.5
296641,5.80940149,1.06E-04,0.17213477,0,2,12,2,2,FALSE,0,mmol_per_gDW_per_hr,"2,3-Dihydroxy-3-methylpentanoate transport, chloroplast",2.5,2,0,0,0,0.73281103,,,R_23DHMPth,,,reaction,TRUE,0,"2,3-Dihydroxy-3-methylpentanoate transport, chloroplast",48540,0.5
294680,5.62445415,2.00E-05,0.17779503,0,6,13,6,0,FALSE,,,Reduced flavoprotein (cytochrome P-450),5.83333333,6,0,6,0,0.74308588,0,h,M_cytP450r_h,NaN,NaN,species,TRUE,0,Reduced flavoprotein (cytochrome P-450),507406,0.30208333
305924,5.34035448,3.86E-04,0.18725349,0,5,12,5,5,FALSE,0,mmol_per_gDW_per_hr,"dGTP:pyruvate 2-O-phosphotransferase, mitochondria",35,5,0,0,0,0.7588692,,,R_AGPOPm,,,reaction,TRUE,0,"dGTP:pyruvate 2-O-phosphotransferase, mitochondria",23534726,0.22222222
295770,4.7932186,7.00E-04,0.20862808,0,4,11,4,0,FALSE,,,Thiosulfate,5.25,4,0,4,0,0.78926563,0,c,M_tsul_c,NaN,NaN,species,TRUE,0,Thiosulfate,3179272,0.38636364
300073,4.87901361,0.00131479,0.20495946,0,7,12,7,7,FALSE,0,mmol_per_gDW_per_hr,long-chain-fatty-acid-[acyl-carrier-protein] ligase (16:0),57.28571429,7,0,0,0,0.78449924,,,R_AACPS3,,,reaction,TRUE,0,long-chain-fatty-acid-[acyl-carrier-protein] ligase (16:0),61189148,0.19611747
296023,6.06421783,0,0.16490173,0,1,12,1,1,FALSE,0,mmol_per_gDW_per_hr,D-lactate exchange,2,1,0,0,0,0.71865457,,,R_EX_lac_DASH_D_LPAREN_e_RPAREN_,,,reaction,TRUE,0,D-lactate exchange,0,0
294434,5.22476239,0.00244466,0.19139626,0,13,13,13,0,FALSE,,,Acetyl-CoA,4.76923077,13,0,13,0,0.76529098,0,h,M_accoa_h,NaN,NaN,species,TRUE,0,Acetyl-CoA,40308452,0.11778846
305719,5.4780375,8.73E-04,0.18254713,0,4,12,4,4,FALSE,0,mmol_per_gDW_per_hr,"1-aminocyclopropane-1-carboxylate aminohydrolase (isomerizing), mitochondria",19.5,4,0,0,0,0.75122014,,,R_ACCAHm,,,reaction,TRUE,0,"1-aminocyclopropane-1-carboxylate aminohydrolase (isomerizing), mitochondria",1988426,0.28030303
303418,4.83740046,6.16E-04,0.2067226,0,5,12,5,5,FALSE,0,mmol_per_gDW_per_hr,phosphoglycerate dehydrogenase,61.8,5,0,0,0,0.78681109,,,R_PGLYDH,,,reaction,TRUE,0,phosphoglycerate dehydrogenase,8443260,0.24126984
306192,5.2067814,0.00104173,0.19205723,0,9,12,9,9,FALSE,0,mmol_per_gDW_per_hr,"GMP synthase (glutamine-hydrolysing), mitochondria",34.66666667,9,0,0,0,0.76628992,,,R_GMPS_LPAREN_glu_RPAREN_m,,,reaction,TRUE,0,"GMP synthase (glutamine-hydrolysing), mitochondria",38302932,0.16185897
302900,5.33110712,4.46E-05,0.1875783,0,4,12,4,4,FALSE,0,mmol_per_gDW_per_hr,"1-acylglycerophosphoethanolamine O-acyltransferase (18:0/18:2(9Z,12Z))",32.75,4,0,0,0,0.75938294,,,R_1AGPEAT1801829Z12Z,,,reaction,TRUE,0,"1-acylglycerophosphoethanolamine O-acyltransferase (18:0/18:2(9Z,12Z))",46648,0.26680672
295725,3.99486257,0.00151691,0.2503215,0,8,9,8,0,FALSE,,,L-Threonine,68.625,8,0,8,0,0.83361875,0,c,M_thr_DASH_L_c,NaN,NaN,species,TRUE,0,L-Threonine,30025998,0.36357527
301438,4.74646802,2.19E-04,0.21068297,0,4,12,4,4,FALSE,0,mmol_per_gDW_per_hr,"digalactosyl-diacylglycerol galactohydrolase (18:3(9Z,12Z,15Z)/16:4(4Z,7Z,10Z,13Z))",61.5,4,0,0,0,0.79186289,,,R_DGDGGH1839Z12Z15Z1644Z7Z10Z13Z,,,reaction,TRUE,0,"digalactosyl-diacylglycerol galactohydrolase (18:3(9Z,12Z,15Z)/16:4(4Z,7Z,10Z,13Z))",5613896,0.28947368
295018,3.07834575,0.50898566,0.3248498,0,522,9,522,0,FALSE,,,H+,6.19157088,522,0,522,0,0.88453635,0,c,M_h_c,NaN,NaN,species,TRUE,0,H+,9327475554,0.00722054
307498,4.04623684,0.00102701,0.24714322,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,UDP-glucuronate decarboxylase,140,4,0,0,0,0.83076462,,,R_UGDC,,,reaction,TRUE,0,UDP-glucuronate decarboxylase,4270084,0.25932836
307968,7.24222964,5.11E-05,0.13807902,0,4,14,4,4,FALSE,0,mmol_per_gDW_per_hr,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming",4.5,4,0,0,0,0.65320946,,,R_MCDH,,,reaction,TRUE,0,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming",562592,0.38888889
299631,4.8487028,0.00100165,0.20624073,0,5,12,5,5,FALSE,0,mmol_per_gDW_per_hr,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),98.2,5,0,0,0,0.78618318,,,R_3OAR120,,,reaction,TRUE,0,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),32377248,0.30857143
294483,4.53377858,8.30E-05,0.22056657,0,3,11,3,0,FALSE,,,5-amino-1-(5-phospho-D-ribosyl)imidazole,4,3,0,3,0,0.80367897,0,c,M_air_c,NaN,NaN,species,TRUE,0,5-amino-1-(5-phospho-D-ribosyl)imidazole,701198,0.33333333
305955,3.8576933,7.29E-04,0.25922227,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,"adenosine 3',5'-phosphate 5'-nucleotidohydrolase",241.5,4,0,0,0,0.84123926,,,R_APN,,,reaction,TRUE,0,"adenosine 3',5'-phosphate 5'-nucleotidohydrolase",8215038,0.33495822
306757,4.06884151,1.64E-04,0.2457702,0,5,10,5,5,FALSE,0,mmol_per_gDW_per_hr,GTP:uridine 5'-phosphotransferase,117.2,5,0,0,0,0.8295088,,,R_GTUP,,,reaction,TRUE,0,GTP:uridine 5'-phosphotransferase,1976298,0.21801126
301076,6.44644233,1.11E-04,0.15512432,0,4,14,4,4,FALSE,0,mmol_per_gDW_per_hr,1-octadec-9-enoyl-sn-glycerol 3-phosphateO-acyltransferase ((11Z)-C18:1) (ACP substrate),13.5,4,0,0,0,0.69741987,,,R_AGPAT1819Z18111Zh,,,reaction,TRUE,0,1-octadec-9-enoyl-sn-glycerol 3-phosphateO-acyltransferase ((11Z)-C18:1) (ACP substrate),22962404,0.29069767
295584,4.82198818,0.00155926,0.20738334,0,7,11,7,0,FALSE,,,D-Ribose,3.85714286,7,0,7,0,0.78766732,0,c,M_rib_DASH_D_c,NaN,NaN,species,TRUE,0,D-Ribose,3347872,0.17857143
294327,5.8987927,5.97E-06,0.16952621,0,2,13,2,0,FALSE,,,3-Sulfinopyruvate,4,2,0,2,0,0.72784485,0,h,M_3snpyr_h,NaN,NaN,species,TRUE,0,3-Sulfinopyruvate,7428,0.5
295318,6.38427948,5.25E-04,0.15663475,0,3,13,3,0,FALSE,,,O2,2.66666667,3,0,3,0,0.70087336,0,e,M_o2_e,NaN,NaN,species,TRUE,0,O2,7747300,0.33333333
307868,6.80863088,8.30E-07,0.14687241,0,2,14,2,2,FALSE,0,mmol_per_gDW_per_hr,"ketol-acid reductoisomerase,  3-Hydroxy-3-methyl-2-oxobutanoic acid forming",3,2,0,0,0,0.67729828,,,R_KARI_LPAREN_3hmoa_RPAREN_,,,reaction,TRUE,0,"ketol-acid reductoisomerase,  3-Hydroxy-3-methyl-2-oxobutanoic acid forming",184,0.5
294478,6.26303622,2.07E-05,0.15966697,0,2,13,2,0,FALSE,,,S-Adenosyl-L-homocysteine,4,2,0,2,0,0.7076091,0,m,M_ahcys_m,NaN,NaN,species,TRUE,0,S-Adenosyl-L-homocysteine,16478,0.5
295046,6.55175957,1.08E-04,0.15263075,0,3,13,3,0,FALSE,,,Hydrogen peroxide,4.33333333,3,0,3,0,0.69156891,0,x,M_h2o2_x,NaN,NaN,species,TRUE,0,Hydrogen peroxide,1752198,0.37037037
295685,4.44438736,2.11E-04,0.22500289,0,5,11,5,0,FALSE,,,"Triacylglycerol (18:1(11Z)/18:1(11Z)/18:4(5Z,9Z,12Z,15Z))",107,5,0,5,0,0.80864515,0,c,M_tag18111Z18111Z1845Z9Z12Z15Z_c,NaN,NaN,species,TRUE,0,"Triacylglycerol (18:1(11Z)/18:1(11Z)/18:4(5Z,9Z,12Z,15Z))",3044452,0.59217877
295396,6.30516311,3.61E-06,0.15860018,0,2,13,2,0,FALSE,,,(R)-Pantoate,6,2,0,2,0,0.70526872,0,m,M_pant_DASH_R_m,NaN,NaN,species,TRUE,0,(R)-Pantoate,2462,0.55555556
307621,5.16568199,0.00180109,0.19358528,0,6,12,6,6,FALSE,0,mmol_per_gDW_per_hr,"citrate synthase, mitochondrial",44.5,6,0,0,0,0.76857322,,,R_CSm,,,reaction,TRUE,0,"citrate synthase, mitochondrial",167694102,0.21534653
294533,4.47367069,8.45E-05,0.22353009,0,5,11,5,0,FALSE,,,L-Arabinose,107.4,5,0,5,0,0.80701829,0,c,M_arab_DASH_L_c,NaN,NaN,species,TRUE,0,L-Arabinose,435126,0.59775281
303963,5.86694066,1.79E-06,0.17044658,0,2,12,2,2,FALSE,0,mmol_per_gDW_per_hr,"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase, cytosol",2,2,0,0,0,0.72961441,,,R_PRICI,,,reaction,TRUE,0,"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase, cytosol",34402,0.5
